ZSE|2022:12:05:21:21:54:014|MARKET INITIALIZATION 
 EUR: +3.350278e5 
 USD: +5.4160906e5 
 YEN: +6.403126e4 
 YUAN: +5.9331863e4 
 END MARKET INITIALIZATION
ZSE|2022:12:05:21:21:54:015|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-TOKEN:4ec3ba13de29cdbb40c8c975aaba3eeec931b95edf204db3a6158971127a684f
ZSE|2022:12:05:21:21:54:015|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-TOKEN:78aff23c3d29cc61af9775b1f5a0edde5ae5122fc13db3dcc31d6b0f3973b2da
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-TOKEN:64a683505eb4a1fb3f098a77cdf19b113d86b104f08bd895a0146d8604d9fb77
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:016|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
